Price,Close,High,Low,Open,Volume
2000-01-03,32.72816848754883,32.8036677816202,31.31636655551392,31.31636655551392,3528277
2000-01-04,31.43715476989746,33.06790061976612,31.10496457590124,32.76590953431501,3544397
2000-01-05,32.19969177246094,32.886717985679894,29.293034778773244,29.293034778773244,5849540
2000-01-06,33.53599548339844,34.71375506274767,32.46392830737783,32.46392830737783,10274966
2000-01-07,36.22370529174805,36.22370529174805,33.68698839612512,33.82288593006975,11477451
2000-01-10,39.08505630493164,39.12280594843574,37.446759649734354,39.10770488872043,8978430
2000-01-11,35.9594612121582,39.25870334942016,35.9594612121582,39.25870334942016,6303356
2000-01-12,36.27655792236328,37.144781931636736,34.57786556947265,36.23881127406206,4897855
2000-01-13,35.55177688598633,36.99378100227772,34.970446123250404,36.69178982457675,2952315
2000-01-14,36.09536743164063,36.69179635654715,35.18184621080617,35.47628691003558,5347397
2000-01-17,37.84689712524414,38.97181189804839,36.68423871903414,36.68423871903414,7738816
2000-01-18,37.44676208496094,38.12624068330149,37.00132888693884,37.8997488191161,4134762
2000-01-19,37.82425308227539,38.9416174590941,36.63139241222715,37.89975238128957,6371852
2000-01-20,35.58952331542969,37.74875252621919,35.272434110417954,37.74875252621919,2911586
2000-01-21,35.06104278564453,35.30263572304445,34.04937686895915,34.7439535581994,3633756
2000-01-24,32.26008224487305,35.61972253066136,32.26008224487305,34.72885013741288,5871546
2000-01-25,29.68561744689941,30.93887615229022,29.685617446899418,30.25184706951877,3684802
2000-01-26,29.68561744689941,29.685617446899418,29.685617446899418,29.685617446899418,0
2000-01-27,27.31499481201172,29.142036693550768,27.31499481201172,28.689049985232916,9020093
2000-01-28,26.454328536987305,27.48109555717063,25.42001098575511,25.82015005614468,13942903
2000-01-31,27.133804321289062,28.492758494114263,25.67670227258933,25.842795903345305,14875954
2000-02-01,26.46942710876465,27.918978809143336,25.986244210566657,27.164003839955075,6294485
2000-02-02,27.19419860839844,28.22096548431376,26.929960116661928,27.783079831775183,4676810
2000-02-03,26.77896499633789,27.44334251341872,26.68836765231083,27.17910101145253,2037576
2000-02-04,27.020553588867188,27.171549154874302,26.091934615153576,27.028104118613577,4201025
2000-02-07,26.84691619873047,27.55659403474949,26.476979223211032,26.892216382830032,2468149
2000-02-08,27.269695281982425,27.918971665655,26.65061500379793,27.028102391806243,3504831
2000-02-09,27.73023796081543,28.991047485037434,27.481097470914843,28.085076875406905,4440835
2000-02-10,27.345191955566406,27.91897207230828,27.17909834404302,27.91897207230828,1445348
2000-02-11,25.63140106201172,27.903876123811852,25.22371452604614,27.7679816137514,4107804
2000-02-14,23.827014923095703,25.66915518642472,23.585423471903024,25.66915518642472,3657229
2000-02-15,25.034971237182617,25.518155566269,23.555220638316936,23.864760810482107,5135881
2000-02-16,24.89152717590332,25.9409411859737,24.78583027099179,25.9409411859737,1652627
2000-02-17,25.118019104003903,25.971141818985835,24.70278203852425,24.91417433333978,1841955
2000-02-18,23.283430099487305,25.216167414900333,23.10978594264987,25.06517033958777,2747217
2000-02-21,25.148218154907227,25.148218154907227,22.64924974703575,22.64924974703575,3511793
2000-02-22,27.16399955749512,27.163999557495117,25.714448085641173,26.25803214192458,3318248
2000-02-23,25.374711990356445,29.293031542645814,25.10292144705276,28.67395416832068,6547748
2000-02-24,25.70690155029297,26.409025723212054,25.05762207209282,25.805046421003546,2448914
2000-02-25,27.616987228393555,27.767982804817574,25.148219322659934,26.341079867733185,4658556
2000-02-28,27.337646484375,27.783079658336653,26.288231030831085,27.783079658336653,3399023
2000-02-29,25.155765533447266,27.692480413100064,25.155765533447266,27.186649045945884,4357555
2000-03-01,23.796815872192383,25.971146453634187,23.253234729724305,25.216171475734452,7644786
2000-03-02,22.16606903076172,24.725436082407125,22.007524408554147,24.612188635493997,6852856
2000-03-03,20.399423599243164,21.426190406026155,20.399423599243164,20.68631366162723,6378720
2000-03-06,20.950559616088867,22.037723376450728,20.55042204629156,21.124203796503075,8897556
2000-03-07,19.946441650390625,21.07890403015084,19.62935242452053,19.62935242452053,5675894
2000-03-08,19.251867294311523,20.248433768056017,18.874378285818416,20.233334207716293,3117111
2000-03-09,20.792015075683597,20.792015075683597,19.05557176190814,19.32736232733064,3438151
2000-03-10,19.538753509521484,21.139300572165485,19.214113778933875,19.629350853344835,3519688
2000-03-13,18.17224884033203,20.142732803308636,18.051452381856425,19.916240946559004,3513948
2000-03-14,19.629350662231445,19.629350662231445,18.08920034090594,18.54218555272025,4396990
2000-03-15,20.414525985717773,21.03360486452065,19.62935196714756,20.38432686939644,4038499
2000-03-16,21.954673767089844,22.052821641486418,20.23333023768044,20.53532138522044,5782750
